id,English,LabelTask1
800,How will you feel if I look at you and say you look like a prostitute BAD?!... Why will you look at me and just open your mouth gbagada and say I look like a fuckboy?!,1
1168,@Doc_jinguji [ THAT WAS THE STEREOTYPICAL WOMAN CODE FOR DO NOT DO WHATEVER YOU WANT INSTEAD READ MY MIND AND DO WHAT I WANT JAKURAI FUCKED UP HE FUCKED UP ],1
3868,"@DemDFire Keep those claws, lizard.",1
3427,@moranicly @bullrike @Manaxium This is because - no matter how much you #notallmen or argue a false equivalence with race or other characteristics - males pose a risk to females. It's not a coincidence that most sex offenders are male and most of their victims are female. Those figures are not unconnected.,1
6141,"#1: #NotAllMen #2: And men what? #3: Don't rape a man, rape a rapist#4: And the false allegations aren't counted?#5: Where were the feminists when it happened?#6: What would happen if that were done by a man? hytazooos",1
6569,"Mana, santa, queen, adored, idolized, of life, of love, doll, pork, lizard, chickendrill, sorgatona, guachaperra, cuera... a t-shirt that says",1
313,@NEETisms “Now...”She demanded while rubbing her oily tits for Zoey~.,1
6301,"@maricel_carolin @esegeaerreceese Don't listen to him, did you see that it's hummingbird? Women must disgust him. Hahaha",1
5511,"@gabrielboric @GiorgioJackson @Pa__tty I mean you also want to sodomize children???♪ Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh.",1
4425,"""We get her drunk and they get her""... Which I understand is rape.And their programs have more than 10,000 views in a state that leads nationwide sexual rape complaints!!! This isn't right wherever you want to be looked at.",1
4113,@Mariferofi24 Nothing richer than good tits,1
5611,@evilside222 We must win over the lizard jajaa https://t.co/LJqNzW9c0t,1
3413,@thatSLAYERchick @SRavensmire @crstye @cowboybegoth @BewareQFlynn @VIZMedia you're fucked up. apparently you're a mother of five? SO glad to know that if your kids ever came home upset about being kissed by a significantly older person w/o consent that you wouldn't care. I bet you're the type of woman who'd love an unsolicited pussy grab by Trump,1
6131,"@3VoltesRebeeel What Macarena has said is true, but the Machistas take advantage of that speech to criticize feminism. Feminism is necessary and there is still a long way to go for gender equality in many aspects of life but the radical feminism to which Macarena refers",1
2923,I remember this one time when I just started 6 form and I was wearing shorts with tights and long boots and a teacher looked me up and down and said that’s a bit risky you look like a prostitute. Stop sexualising kids. https://t.co/AqrN1t05ln,1
6710,"Being elegant and classy like her is knowing how far a public comment may or may not be made, for me it was a pelon.  Anyway I admire her as a woman, as an entrepreneur and as a Venezuelan. There are spectacular mature women with jeans and long hair https://t.co/fSZwYZHZnp",1
5389,9. All whores,1
2870,@justbekk @Alfie_NUFC @charbillins You are a feminazi. You don’t understand. It’s gender equality. Not give more power to one side.,1
494,"No real fans distinguished these heroes by gender until you stepped in and felt women weren’t “represented” enough. I watched Black Widow do as much damage as Cap with a fucking pistol and was   thrilled. Her character history proves shes just as lethal, even without the serum*.",1
1359,You better leave my sister alone. I might not be there to see it but I can see you skank toxic feminazi bitch. #decentralizededucation #Illtreatyoulikepulpedupmeatfamski,1
2634,@blessednudity More ass and tits,1
5422,"@Benri55 @ZorraCaotika @unpleonasmo If identity is configured as assumption of ""social standards and expectations associated with sex"" what is being said is that being a woman is behaving like a woman.,Submissive? Abnegated? Altruistic? Obedient? Discreet?POR LAW?",1
3247,why did spotify cover sky's tits on night time my time cover,1
42,@zoomberiq @CrisAlexJimenez Except for the human you murdered. All in the name of whoring yourselves out. Good job feminists,1
5665,"Today they used an image of a protest by Femen that I had in my profile to block my account, after years without giving any problem.Today more than ever we must spread them.Women are not incubators, they support the struggle for their reproductive rights. https://t.co/5DBVNniYPP",1
1362,@blueheartedly This is sadly true. They have swallowed the #patriarchy talking points.,1
6757,"After Killing 8 Women, Death Sentenced to the Call “Twitter Killer” in Tokyo https://t.co/EN7jeYHizO https://t.co/92uje5eE7d",1
2279,"This is outrageous and again, a reminder that the #Saudi regime is so terrified of feminism that it equates it with terrorism: Jailed Saudi activist Loujain al-Hathloul accused of passing classified information https://t.co/gbVjLgvx6q #FreeLoujain",1
3089,"@LewisEmmerton @AlyosxaT Men can't be feminists, Lewis. You have no say in this movement. If you think women's rights are anti-trans, you acknowledge the conflict between trans rights and women's rights, and you choose to prioritize males. You're no feminist and no ally. #womensrightsarehumanrights",1
5708,@Jackskinripper Also a lizard is called Rivera vic,1
6100,For raping her 14-year-old stepdaughter a sexagenary is captured by DPI agents https://t.co/hQ962qV0l9 https://t.co/7tA4OaRrhU,1
6934,"Just as not all men are gentlemen, so not all women know how to behave like a lady.",1
4726,"Machismo 21st centuryBe a woman, be obedient, be submissive, be generous, let yourself be beaten and quiet, let your body invade, let your pleasure mutate, let your uterus remove you, let your children rip you out, let me imitate you, let me supplant you, let you disappear.",1
6628,"@ConstaFantasma Yes, a pain in the soul because to me ""labuando"" there, they made me quilombo for publishing against feminism, and of what at that moment was the ""meeting of women"", or they made me quilombo for publishing that Maldonado drowned, imagine",1
2686,"@softly_sighing2 I’m not a lovely lady, but I was raised to respect women, and what you’ve described sounds like an idiot.",1
6923,@shitsasuke sos bella I never met a woman so beautiful to say motherfucking how beautiful that's why you seem to me the most beautiful woman because women are beautiful but you are the most beautiful woman I've ever met I hope you know how beautiful you are because posta are re bella,1
5667,#StreamFutureNostalgia whores,1
893,"@PopcornBambi BeCaUsE I’m nOt GaY!! Oh so you expect women to be ‘grateful’ to be offered sex by men they don’t want to have sex with, but you won’t be grateful for the same offer?How do they know they won’t like it if they’ve never tried? How ungrateful and hypocritical of them.",1
2339,"@Chasten Yet another inept entitled white man feeling robbed of opportunities because of the ascension of women and people of color.Epstein can choose to not call Dr Jill Biden “Dr”, but at least he cannot call her Skank. Because unlike a few select 1st ladies, the Dr never posed naked",1
3728,"@EsleyTkcosplay It's good she's excellent caster, her skirt is very short and turns enemies into marranos, god civ",1
6056,@Kaaroo_pty @criticaenlinea I don't know who it is for women to make us believe that we are weak and incapable of defending ourselves.  That does us a thousand times more harm than the “oppressive” system and patriarchy.,1
6889,"@outlawnovacaine @stibalizfeit Here is an example: The only reason this happens is because they are men, so clearly they are discriminated against by their gender. Call it what you want: patriarchy, androcentrism, any other stupidity; but they continue to be discriminated against by their gender jajajja https://t.co/bnZkh3VEIo",1
5471,Aurah has very few lights and has not even been able to claim that Jesse is the love of her life because what she really is for her is her life insurance. Live on him. Lizard. #The Strong House14,1
1971,@asstitic @fizzly5 @chaseicon but him beginning the call w sexual harassment and sexualising me sits right with you? okay. i just chose to turn the harassment into something i could laugh at,1
1427,"You dirty pile of shit, don't you know you lost it when you told her you had a 13 inch dick? Don't you know women don't dig that shit?",1
3833,Women can't love you the way you want to be loved.She just can't do it. She doesn't see you for what you really were. They see you for what you can do for them and not necessarily financially.The emotions that make them feel.,1
3359,"#قصور_کے_بچوں_کوبچاوPakistan has been debating harsher punishments for sex offenses following public indignation over high-profile cases, including the September rape of a woman beside a major road who had been driving with her two children....@GovtofPakistan",1
5984,"@22Adrianfc The straws you should do with those portents... I know the note ""guarra"" at the time of love",1
2757,"@prageru Guys lose a lot of liberty when they marry, yet Dennis tells them to. #MGTOW #marriagestrike",1
5316,"Micaela, I hope to see you this week, bitch.",1
6400,"you know the truth is that I want to remarry and have children, I'm sick of this constant pressure of having to be an independent and lonely woman, I'm aware that I was raised to want to mother but I don't have the strength to go against that, bye.",1
3311,"Got banned from the little chaps Fakebook for saying Kamala is a Skank , who slept her way into every job she ever had , obviously the truth hurts Suckerburg,",1
1459,@CresylSnap @Kori93723093 @LiftHimUp68 Good God...you white FemiNazi Karens are irritating AF! https://t.co/WnBWTXKm72,1
6376,"@AntonGomezKingdom @IreneMontero We must stop the #FeminismZurd of @IreneMontero who wants to turn women into weapons against the system, offering illiterate, unreal and dystopian feminism.",1
5472,Well stupid bitch don't start https://t.co/uDZ0DGqNdo,1
5375,"An old woman threw ""bite"" at me for waiting for me to cut the traffic light on the pedestrian path I never laughed so loudly in the face of an old frigid shell I wish her sweet bread fell bad",1
329,i always wonder what my mutuals think when they see us scrapping like muslim incels saying that they need to hit women and shit y’all probably think our stereotypes aren’t stereotypes nejsjsjsvhs https://t.co/4Iwi8r8myh,1
1331,"@godlywomanhood Women who have one foot in Christianity and one in feminism will always claim those who teach against feminism are violating Holy Scripture in some way, regardless of how the message is presented.  This is because they value feminism above the truths of God.",1
6491,"@PauRatto @yennysuarezc @MaxPaggani Someday people will stop getting in. I've been a widow for 15 years. One day, walking with one of my granddaughters a neighbor asked me (in front of the baby and without filter): ""Are you frigid, why didn't you form a couple again?"" ... That's right, we all have to live by explaining.",1
1282,@PaulArkell12 @AllenMavis2 @Iromg He saying you look like a fucking serial killer . I think more of a noncey cunt either way its not great.,1
1590,@MoiraBateman @page88 @pinesabovesnow ‘Reckon she’s speaking to the perception of ‘housewife.’ I don’t know any housewives without a college education; and I don’t know any of _these_ types of men who don’t put all women in this bucket of assumptions that once we have kids that’s our only ‘thing.’,1
6885,"I mean, I don't want anything more to do with women this year, I'm going to give myself some time.This specimen appears: @Lady_redhairhttps://t.co/bSYFRMQwoP",1
6318,They're feminists but they want women at home educating their children. Good thing there's menstrual justice.,1
334,GET SOME FUCKING BITCHES I AM BEGGING U GET LAID GET A JOB HUG UR FAMILY MEMBERS GROW A TREE IM BEGGING,1
4785,@kenziezivgler AY RILEY GOLFA PUT IT ON THE TL,1
954,@ApuBch And the need to mention the gender of the motorist is? Think how strange the Tweet would be if you put you 'had to rescue a stranded male motorist from deep mud' #everydaysexism #sexism #metoo @bedspolice @BedspoliceLGBT,1
3654,@infobae Dan disgusts... why the fuck I have to see the tits of these assholes.,1
5402,"@Pablo_Tena_ Nothing expected of this false, lying and incapable Pedro Sanchez, “the babe.”",1
2849,"@philippawarr Middle click pings and other in game, non voice, comm solutions are just a bandaid covering the festering wound which is toxic masculinity in online video game communities. We need to address the root problem! #patriarchy #ToxicMasculinity",1
2802,"@DrLucasBly @deadsandsushi Makes sense and I agree with you.&gt;Which is why women who can't be alone, choose poorly, have issues, are impulsive, etc.I haven't seen this line written out, but damn it really explains my ex-girlfriend super well.",1
4499,"@fatherhayen What man would not like to have a woman who seeks God's will, who is prudent and does not let herself be carried away by anger, who knows how to listen and who is obedient to God's will? That was Mary, the model of every wife.",1
5367,"@DanyJrez JajaToday 21.12.20 We all realized that women don't give a shit about equality between women and men.Thousands of feminists (confess) sharing and commenting on whatapps,Inst,etc videos of Gabriel Soto.Then they hit their chests when they are a WOMAN",1
5966,"I like the work of @CarlosSadness but its version of Antonio Machín’s “Look you’re cute” is not nostalgic, nor innovative as it presents it. The vision of a woman vase in the video is rather archaic. https://t.co/TVpa0C93OS",1
3036,"More uniforms for ladies!!!!!! They might just wear a g string only to work,plus a very short mini skirt and claim they don't want the attention of men lol kkkkk#Ladies must wear uniforms",1
6485,"""Sexually free and empowered woman"" = Hey the puuuuta mine! #Neolengua.",1
1515,"@ProudSocialist JFC - the most productive member in ALL of Congress and you want to replace her The problem is solely with the GOP &amp; Trump.She'll go when she's damn well good &amp; ready to go &amp; not when primadonna, spoiled little men tell her to.",1
5652,"@gabigol666 @andreapechiche @saludhernandezm And because they don't use a condom or become cold before!!!! Different situation for ladies who are raped. But why does an old woman in all her five senses think it's easier to kill than to think?♪ Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh.",1
1370,"@lewicowa_pyra @sen_ggs You are now taking about ""sexual assault"" not ""rape"" - which has a real socio-political significance.""not all people with penises"" = #NotAllMen",1
6521,@purivescent Woman vase?,1
5331,"if violent trans women deny them their gender identity with hate speech, even if it is remove your feminist label because it is too violent to be all day telling a trans woman who fights in the same movement that we do.",1
3169,"Abusence of clean drinking water  in Buikwe district responsible for increased cases of  #domesticviolence the women say that they walk long journeys looking for clean  get tired and fail to please their husbands in bed,the men spank them @nwscug @HonKibuule @acfode https://t.co/vKj6sSWdtA",1
5399,"@adabimba Mucho Naomi come here let's rub our clam but then you're scared of a cubata, anyway, women",1
6313,"Americans are kind of ""good alive in a country where people prefer to die rather than pay a medical bill and where the public school system is very decadent but EY in this mid-age series have killed a woman for fucking CANCELATE""",1
5674,You fucking cunt.,1
2809,@0T5HARRY @Rothbard1776 @realDonaldTrump You look like a prostitute,1
5921,"Look how Kyungsoo is gonna offer him a Live when he gets back from Military Service and I think he's capable of refusing ""no, I don't look at whores.""",1
689,I'm sorry if a man/ masculine woman ever grab the wrong hand to propose to you... you need to reevaluate your life,1
6781,"@ClaudioSustaita @RubinsteinOk @Chupetinero @senadoar No one forces you to abort. Stop getting into the utero of raped women, abused girls forced to be mothers at the age of 12. They promote hatred. No education, no contraception or anything, oppose those who would prevent them from getting pregnant! Don't do it in God's name.",1
764,I see nothing wrong when women bring attention to the fuck shit men do because men do the exact same thing. Nothing either sex says shouldn’t bother you if it doesn’t apply https://t.co/4lM8ljplsH,1
2075,@pigeonpdf I hate to hear it “learn so you can cook for your husband”. I have seen this happen to females in my family. It's like saying you are only going to be worthy if you can do this or this is the only reason you need to know how to cook. How about “learn so you can cook”.,1
2555,No fr why do us women hit curbs then laugh lmaoo,1
2726,Bitches say anything to make you look bad  like stfu sound dumb asf saying anythingggg,1
862,"My cousin was literally just chewing gum in Iraq and her dad says “spit it out, you look like a whore asking for it” ????? Did my guy forget that’s his daughter like where’s the respect wtf",1
4749,"Sisters, bitches, fucking twitter. Don't forget the pre-bed milk cup. https://t.co/n5KKBpzL5d",1
3435,"@adamm_mo I believe u can let ur wife work anywhere, business or office, depending on who she is,and how much u trust and understand each other,and what married men do with females or married women depends on the woman ur dealing with actually,,,a person does the wrong thing willingly",1
2772,"ik this is not the point of this post at all but i just REALLY dont think straight men actually even like or know anything abt women... like he says ""i didnt even know women could be like this"" and acts like a 31 year old women is ancient or smth.. do u EVEN LIKE WOMEN https://t.co/CXf1vmN8nZ",1
6858,"https://t.co/pBzAmUNOO3This news broke my heart. Think my friend, and if it happened to you or to some loved one would you still be a pagan? Reason why #MeToo is an aberration",1
4163,that slutty face deserves a lot of semen https://t.co/XSCGEYYuFg,1
5028,"@LeoLopezLujan @ColegioNal_mx @ENCRyM @INAHmx @MusTemploMayor @Arqueomex_ @acadmxhistory @cmch_historicas The queen exercised power as if she had been born as a man, she to exercise power masculijizón, repeujo al system, power and patriarchal culture. The Virgin of Guadalupe is the symbolic reproduction of what a woman should be in the patriarchal cultural mandate",1
3221,"@theblackdizi Well, that skirt is short and easy to....I mean...very easy access for one of two appropriate appendages to go...just saying like https://t.co/HSIZPnZIhM",1
1565,@kyaau0 @izzygotobed You ain’t answer my question whore. What’s the third song on whole lotta red. I’m genuinely wondering,1
6685,"Let's cut the crap. Woman who is fully happy in a relationship, shines, radiates a special light, smiles and shines anywhere, walks on coal and does not feel it. You can tell!! And it's also doubly noticeable, when it's the opposite.",1
956,"the sexual tension between me and the urge to kick privileged cishet men who invalidate women and their struggles and victimize themselves by putting all the blame on the feminists, because ofcourse ""feminism is cancer""",1
5728,The truth is that it is disappointing that the ultimate end of the interaction of most girls with women is to have sex. #Basic,1
4161,@sqtm01 That rich and big tits,1
3024,@BoyResist Having Chad accuse his wife of cheating with the identical twin of her rapist because he considers her rape to be “cheating” is worse than Dena’s stuff.,1
5579,@La4x41 @Marcos85857106 Helen Mack is the reason why the Courts have not been appointed in Guatemala!. Corrupt and Perversa Marimacho (because it has no definition of sex!) He has Coptado the OJ and Min of Rule! She's part of the Organized Crime! DOWNLOAD,1
668,Sexual harassment law is very important. But I think it would be a mistake if the sexual harassment law movement is the only way in which feminism is known in the media.• Judith Butler#QuotesFolder,1
478,@JoannaConn3lly @HoboPoetMama @quelquechien @EricMGarcia @EricLevitz @rtraister Like I am with you and willing to stand by you and push back on usage and educate people on the ancient origins of the phrase and I do not want women to be made to feel uncomfortable by it.But I also don't think you can expect 99.9% of people to know the ancient usage v. modern,1
1321,"cranking my feminism knob up to ""radical"" until my feminism machine short circuits and suddenly i hate a whole, incredibly marginalized, population of women",1
3150,@CSchooluniform Janette manrara. Very very short skirt and tight shirt,1
912,@freewimin @NicolleDWallace I don’t recall Sharpton fighting for hillary clinton... at all.... #womensRights didn’t seem to matter to anyone in 2016 ...,1
5790,"@marianofake Well, I'm sure as well.",1
6436,@PintosAgus_ @xandraaa__ Hate is that you say that trans women are not women and that they cannot be included in feminism.That's your hatred because you are in no way affected by how they are identified.Terf.,1
4065,Woman at the wheel constant danger https://t.co/Ci4W3sMZiR,1
2532,"Once the cock carousel shuts down, simps are served with the sloppy seconds. #KingDom https://t.co/z8Zd04tibP",1
67,@okcallmejay Want to settle down now that you've gotten bored with the cock carousel?,1
6018,@fairyIesbian the.ilusion of free choice my.wonas of being a woman vase housewife with my desire to be the one to take care of my woman vase : I am a lesbian,1
1136,"@hridsowner honestly none of the men in 11 are straight besides kollector like...they took the same amount of effort and time they put into sexualizing the women in the past few games and switched it over to sexualizing the men, it’s like they want me to dream about getting gangbanged",1
209,@45ydline You can call me a sexist pig but she looks so plastic.,1
5885,"@IDaniela507 Because of those women, men believe that all women are crazy.",1
5456,Okay if you're from the people who consider men to trans women and think it's okay to invalidate anything that doesn't stick to the traditional (I'm not specific for you don't give me all unf) you block me grasiass,1
225,"@watsonsghost @jk_rowling You are a male ignorantly mansplaining women's issues to a woman.Your prerogative to tweet such misogynistic drivel, as it is mine to point it out.",1
4532,@abramartti Ladies years I don't eat them,1
2999,@radiocandied @RealKHiveQueenB Fuck you cunt. Yeah all that money and people like Osteen get $4 billion. You keep your fucking help asshole...,1
2080,#SaudiArabia:  The family of #WomensRights activist Loujain Al-Hathloul condemns potential 20 year jail sentence @mayaoppenheim https://t.co/unOtiv1aOc,1
2790,"@abdull5hh you cant stay feminism in its entirety goes against islam, but there needs to be a discussion about women's rights among muslims. currently, the way women are being treated, goes against islam.",1
5829,"@virgineke Ella Baila Sóla's premonitory song. ""I want to be a flower woman when I grow up""",1
392,Fat asses are really a distraction smh,1
5564,"""I've had fun"" ""I don't want games anymore"" It's always the same. Alpha first, then beta with money. #MGTOW https://t.co/Oie3CKFvuV",1
6227,"It's today. We ask legislators to vote for the health of pregnant women, girls and bodies. In #SanLuis there is 1 child forced to give birth every 28 days. Every year, there are 716 hospitalizations for unsafe abortions. #Let's make history #AbortionLegalLife #AbortionLegal2020 https://t.co/BkMeNraL5B",1
2742,i am probably one of the biggest victims of bullying from this shitty community we're in and seeing these fake ass bitches trying to say they're nice and changed is so fucking funny bye dude,1
5654,@sombarex are all re whores,1
5878,"@woldscree @Luiggi_Ibarra I am a woman and more damage has been generated by my classmates at school than my colleagues at work. Men in that aspect are practical women are not, they are the ones that slash the most behind your back or do insult to your person.",1
2205,@PhilMitchell83 The brutal truth is: she's a f***** Feminazi!,1
6933,"It's going to be definitive. - Marxism has done much damage to humanity and continues to do so with the substitutes of the class struggle it proposes: feminism, ecologism, environmentalism, indigenism, alternatives that by far are worse than the current and hegemonic.",1
3825,she: we all have privilege to her: women have no privilege but men of color do.,1
565,@JaneOst_ @thucydiplease I hate Margaret thatcher more then the average women and that says a lot,1
5342,@fixastyles And look at these shits he answers. The evil lizard got sentimental because they don't tell her. https://t.co/JllH4NH1A0,1
2588,@SpryGuy @SeriousSam26 @SilentAmuse @GPSolomon @bobosonow It took all but 3 tweets for you to call me racist and sexist. Wow. You fail to see real issues and blame everything on racism and sexism and identity shit. It’s a tiring gimmick. This. Is. Why. You. Lose.,1
53,@kelsieharris91 @jamescharles You look like a prostitute that literally no one would go to,1
3820,And the frigid didn't come?,1
1016,"the punchline of this classic white feminism joke is that the listener of the joke is sexist, but it is actually problematic because it assumes cisheteronormativity and fails to recognize recent advances in reproductive science, in this essay i will https://t.co/PC2eRMAUoR",1
2769,"No, I don’t think women can generally compete athletically with men. Yes, I still think it’s awesome a woman scored in a power 5 football game today. Can’t I be both?",1
6079,"""Without ESI, without the provision of contraceptives, without a protocol for the legal termination of pregnancy, currants are forced to give birth at the age of 10,"" says Almirón. And remember a sentence by Pino Solanas: ""That's the idea of the incubator woman"" https://t.co/qwhbfSVcYs",1
3310,"She pressed her own tits tighter against the blind woman's boobs as Jalter's hands slit downwards to grope and spank this girl's ass a few times.""You will regret this! Your body will serve me as my cock sleeve!"" https://t.co/tjMFCQH9Zm",1
6311,"@Lusinelle @amcbarcelona @inNomineSomnium @Tessa_pr @PlataformaTrans @fiscal_es We don't want to delete it. It's just like women who say they don't feel represented by feminism, we're not going to stop because there are four people in the collective against it.",1
2366,twas a whore tonight i think,1
4020,Does anyone teach me how to understand women?,1
2902,@Jay_latne i hate women kill all women,1
2525,"""Well cuz you're just a masty perverted big titted skank!"" https://t.co/3iZafBJKcA",1
5933,"@e_liana @Wawitasny With the justice we have, do you think you have a sentence for beating your women? ..what exists are the testimonies and denunciations of the victims, the recognition of the batter himself, and the prize as a candidate. SIPASE should not and should not be necessary in this case.",1
5688,"@IrynaReborn Russians are definitely the women who should represent true feminism, not this country's poor poofs",1
4495,"@fa_orihuela, another communistFeminazi killing children is not GOOD",1
3790,◆ Inferior for being a woman◆ Smegma snoring addiction◆ 100% submissive◆ Fute love◆ Unbelieving sex◆ &amp; https://t.co/dy8erBNL7y,1
173,"""I hate women &gt;:(""t. has never talked to a woman",1
1881,The next person to assume I'm a fucking child or incompetent I'm biting your bitch ass and absolutely going FERAL.,1
6774,"@ErnestoSigano @FrayJosepho I haven't taken a gin tonic in my life and I've always suspected of sarasism of whoever did it.Having vodzka who drinks cologne?A babe!!Oh, my God!",1
5615,"In Argentina a long time ago they released a group of six boys who raped a girl, under the pretext of sexual help, for justice to rape a woman in a group, is the same as being hot and jerking off.",1
5334,@_guadanavarro_ obedient woman,1
6401,I think this bitch forced him to take off his jacket and take a picture that looks like they slept together. # Female22dic,1
4661,@RC_Kiro And thus be able to be a flower woman,1
3412,"@RajicAngela @maffoo12 @shaun_vids And tell the ""cool"" 90s feminists that still write for the Guardian that it's not the 90s any more and we have new even cooler people and better feminism now.",1
1572,@HawaShabir @Ntshieng_ I don't trash feminism but i fully agree with him @Ntshieng_ here.,1
1120,"@limitlessleila Ah like the discussions here, so calm. Why? Because there’s no feminazi here",1
323,"why do girls get mad when I hit up other women??? like you literally blocked me, broke me, moved away, and fucked my life up completely....n you’re worried about me gettinb at your mom? Fuckkk outtaaa herre",1
3223,@amuuena my best guess is either gold digger or manipulative/toxic relationship or both,1
6865,@gaixotasunak @stibalizfeit @Equality Expert And I don't know what world you live in to say that if a woman was raped before taking her life it's not important,1
4406,I love Smash because I can hit women,1
3620,@ParDandalucia I always want to fuck a woman like you,1
5881,"And I was sensitive not, the next thing, I started crying (I was 13 years old) and I ran to the teacher to tell her that Fulanito and Menganito had told me she looked like a whore. The teacher looked at me with disdain and let me go, you look like it.",1
1345,"""Chris D'Elia has PROOF that some of THESE WOMEN LIED.""  https://t.co/Ds1yvDTBvI#MRA #MGTOW #feminismiscancer #antifeminism #feministshatemen  #feminismisawful #feminismismisandry #antifeminist #antifeminazi #mensrights #mensrightsmovement #mensrightsactivist #mensrightsmatter",1
1200,"@mbalter Nice my dude! Keep going after that Feminazi and fake archaeologist, who dare to have the audacity to be a teenager when we wrote our first article about archaeology in 1996!",1
6439,@QUESO16787337 @jotoucraniano @BRINLIM2 You want to rape the defenses of your heart and fuck me,1
1899,@BobbyLytes boy just start naming your price to fuck because you look like a whole whore on hereYou could tell you did not have that much attention at home https://t.co/lL13s4F625,1
4860,@Chica_MLC @lilyht_lilyht27 @JBALVIN Don't listen to her she's a fucker like that,1
6697,"This is MP @AliAparicioOK (FDT - Buenos Aires): ""The State cannot ignore and put at the head of individuals the violence to which women are subjected before this decision. We must accompany public health policies. It is clandestine or safe and legal abortion"" https://t.co/IJ5JAHmurR",1
5714,@claudiacineros Rather train your brain your feminazi,1
1508,bad bitches is the only thing that i like,1
1872,"@FionaSturges Oh gawd, I've just watched and it's excruciating. Walters may keep reminding us that she's 'very different' from hillbilly Dolly but I know which one comes across as the intellectual powerhouse. That dumb blonde ain't nobody's fool",1
3430,Sodomizing Saturday is wonderful. I need someone(s) to sodomize with. https://t.co/j4UB1rHyBW,1
6023,@lauritalonso hop on that plane and get vaccinated by a Russian with the meat vaccine. Let's see if your frigid face goes off.,1
4967,@Salima22874648 Tits Shrimps,1
4613,"I want to fuck atsumu yakuza, its delicious curves excite me too much, so much that they make me reach the orgasm of just seeing them, I would like to spank their white and soft fucking pompas you have me insane and I can not see you in the fanarts because it gets hard",1
